cell X : 5, cell Y : 1, issolid : 0
cell X : 6, cell Y : 1, issolid : 0
cell X : 1, cell Y : 2, issolid : 0
cell X : 2, cell Y : 2, issolid : 0
cell X : 3, cell Y : 2, issolid : 0
cell X : 5, cell Y : 2, issolid : 0
cell X : 6, cell Y : 2, issolid : 0
cell X : 1, cell Y : 3, issolid : 0
cell X : 2, cell Y : 3, issolid : 0
cell X : 3, cell Y : 3, issolid : 0
cell X : 5, cell Y : 3, issolid : 0
cell X : 6, cell Y : 3, issolid : 0
cell X : 7, cell Y : 3, issolid : 0
cell X : 1, cell Y : 4, issolid : 0
cell X : 2, cell Y : 4, issolid : 0
cell X : 3, cell Y : 4, issolid : 0
cell X : 5, cell Y : 4, issolid : 0
cell X : 6, cell Y : 4, issolid : 0
cell X : 7, cell Y : 4, issolid : 0
cell X : 8, cell Y : 4, issolid : 0
cell X : 9, cell Y : 4, issolid : 0
cell X : 1, cell Y : 5, issolid : 0
cell X : 2, cell Y : 5, issolid : 0
cell X : 3, cell Y : 5, issolid : 0
cell X : 4, cell Y : 5, issolid : 0
cell X : 5, cell Y : 5, issolid : 0
cell X : 6, cell Y : 5, issolid : 0
cell X : 7, cell Y : 5, issolid : 0
cell X : 9, cell Y : 5, issolid : 0
cell X : 1, cell Y : 6, issolid : 0
cell X : 2, cell Y : 6, issolid : 0
cell X : 3, cell Y : 6, issolid : 0
cell X : 5, cell Y : 6, issolid : 0
cell X : 6, cell Y : 6, issolid : 0
cell X : 7, cell Y : 6, issolid : 0
cell X : 9, cell Y : 6, issolid : 0
cell X : 10, cell Y : 6, issolid : 0
cell X : 11, cell Y : 6, issolid : 0
cell X : 2, cell Y : 7, issolid : 0
cell X : 3, cell Y : 7, issolid : 0
cell X : 5, cell Y : 7, issolid : 0
cell X : 6, cell Y : 7, issolid : 0
cell X : 7, cell Y : 7, issolid : 0
cell X : 9, cell Y : 7, issolid : 0
cell X : 10, cell Y : 7, issolid : 0
cell X : 1, cell Y : 8, issolid : 0
cell X : 2, cell Y : 8, issolid : 0
cell X : 3, cell Y : 8, issolid : 0
cell X : 5, cell Y : 8, issolid : 0
cell X : 6, cell Y : 8, issolid : 0
cell X : 7, cell Y : 8, issolid : 0
cell X : 9, cell Y : 8, issolid : 0
cell X : 10, cell Y : 8, issolid : 0
cell X : 1, cell Y : 9, issolid : 0
cell X : 2, cell Y : 9, issolid : 0
cell X : 3, cell Y : 9, issolid : 0
cell X : 5, cell Y : 9, issolid : 0
cell X : 6, cell Y : 9, issolid : 0
cell X : 7, cell Y : 9, issolid : 0
cell X : 9, cell Y : 9, issolid : 0
cell X : 10, cell Y : 9, issolid : 0
cell X : 1, cell Y : 10, issolid : 0
cell X : 2, cell Y : 10, issolid : 0
cell X : 3, cell Y : 10, issolid : 0
cell X : 5, cell Y : 10, issolid : 0
cell X : 6, cell Y : 10, issolid : 0
cell X : 7, cell Y : 10, issolid : 0
cell X : 9, cell Y : 10, issolid : 0
cell X : 10, cell Y : 10, issolid : 0
cell X : 1, cell Y : 11, issolid : 0
cell X : 2, cell Y : 11, issolid : 0
cell X : 3, cell Y : 11, issolid : 0
cell X : 5, cell Y : 11, issolid : 0
cell X : 6, cell Y : 11, issolid : 0
cell X : 7, cell Y : 11, issolid : 0
cell X : 9, cell Y : 11, issolid : 0
cell X : 10, cell Y : 11, issolid : 0
